Key,Value
KünstlerIn,"onbekend (graveur) | Wilkie, David (naar  - )"
Titel,The gipsy mother
Standort,Amsterdam Museum
Gattung,gravure (prentencollectie)
Material,papier
Bildnachweis,Amsterdam Museum
Bildrecht (Foto),Public Domain
Datensatz in Quelldatenbank,http://am.adlibhosting.com/amonline/advanced/dispatcher.aspx?action=search&database=ChoiceCollect&search=priref=69832
Technik,gegraveerd
PID,amsterdam_museum-b1ed8dc1a0c220773999c11a0ec4755475dcc321
Anzahl der Bewertungen,0
Punkte,0
Anschaulicher Titel,"onbekend (graveur) | Wilkie, David (naar - ): The gipsy mother (Amsterdam"
Quelldatenbank,"Amsterdam Museum, Stadtmuseum Amsterdam"
Link,http://prometheus.uni-koeln.de/pandora/image/show/amsterdam_museum-b1ed8dc1a0c220773999c11a0ec4755475dcc321
"19. November 2014, 12",44 MEZ
